Study_Hours,Sleep_Hours,Screen_Time,Stress_Level,Physical_Activity,Assignment_Load,Attendance,CGPA,Age,Gender,Burnout
7,3,3,Low,High,Medium,63,7.19,19,Female,Moderate
4,9,2,Low,Low,High,64,9.89,24,Male,Moderate
8,6,8,Low,Medium,Low,92,9.04,21,Male,Low
5,5,5,Medium,Medium,High,82,8.69,19,Female,Moderate
7,6,1,Medium,High,Low,80,7.69,25,Female,Low
10,6,3,Medium,Medium,High,84,9.2,18,Male,Moderate
3,6,10,High,Low,Medium,66,6.7,18,Female,High
7,6,8,Low,High,Medium,77,8.54,23,Female,Low
8,7,4,High,High,Medium,68,9.97,22,Male,Moderate
5,7,7,Medium,Low,High,95,6.57,21,Female,Moderate
4,9,10,High,High,Low,72,8.37,24,Male,Low
8,4,2,Low,Medium,Low,81,9.22,23,Male,Low
8,3,7,Low,Medium,Medium,89,9.58,18,Female,Moderate
3,6,5,Medium,Low,Medium,62,8.59,21,Male,Moderate
6,9,5,Medium,Medium,Medium,69,6.42,21,Male,Low
5,4,6,High,Low,Medium,84,6.63,22,Male,Moderate
2,3,9,Medium,Low,Low,54,5.1,25,Female,High
8,8,6,Medium,Medium,High,58,8.8,21,Female,Moderate
6,5,8,Low,Low,High,78,5.21,19,Female,Moderate
2,7,7,Medium,Medium,High,55,9.32,21,Male,Moderate
5,8,9,Medium,High,High,74,5.59,22,Male,Moderate
1,3,4,Low,High,Medium,80,5.86,23,Female,Low
10,8,2,Low,Low,Medium,71,7.38,22,Female,Moderate
6,5,7,High,Medium,Medium,51,8.69,24,Male,Moderate
9,9,6,Medium,Medium,High,94,5.7,22,Female,Moderate
1,3,1,Low,High,Medium,54,7.2,18,Female,Low
10,8,9,High,High,Medium,76,7.41,19,Female,Moderate
3,7,9,High,Medium,Low,74,6.06,25,Female,Moderate
7,7,2,Medium,Low,Low,57,5.58,18,Female,Moderate
4,4,3,Medium,High,Medium,50,9.18,23,Male,Moderate
9,8,5,High,Low,Low,69,7.51,20,Female,Moderate
3,6,5,Low,Low,Low,93,5.07,23,Female,Low
5,8,1,High,High,Medium,72,9.01,19,Male,Low
3,9,8,Medium,Low,Medium,81,9.9,21,Male,Moderate
7,3,8,Low,Low,Medium,60,8.03,22,Male,Moderate
5,3,4,Low,Medium,Medium,88,7.52,20,Male,Low
9,9,7,High,Low,High,96,9.39,19,Female,High
7,8,10,Medium,Medium,High,73,9.76,18,Female,Moderate
2,9,3,High,High,Medium,60,8.77,22,Female,Low
4,5,6,High,High,Low,78,7.23,23,Female,Low
9,9,10,High,Medium,Medium,75,7.96,18,Male,Moderate
2,7,10,Low,High,Medium,65,8.5,19,Male,Low
10,9,9,Low,Low,Low,84,5.97,19,Female,Moderate
9,3,1,Medium,Low,High,69,7.24,23,Female,High
10,7,5,Medium,Low,Medium,95,9.15,20,Female,Moderate
5,3,4,High,High,Medium,52,8.27,23,Female,Moderate
2,4,8,High,Low,High,50,7.06,21,Male,High
4,6,1,High,High,High,96,8.32,18,Female,Moderate
7,3,9,Medium,Low,Low,50,5.59,20,Male,High
8,7,6,Low,Medium,High,66,7.01,22,Male,Moderate
3,4,4,Low,High,High,51,8.97,24,Male,Moderate
1,3,9,High,High,High,78,6.1,21,Male,Moderate
4,5,5,High,Low,Low,69,5.93,20,Female,Moderate
2,9,5,High,High,High,55,9.75,24,Female,Moderate
